This text was added by using code,Progress,Responsible,Notes,Feature Owner,Moderator,Code Collaborator ID,Test Type,Current,Reviewed By,Reviewed,Tested By,Tested,Approved By,Approved,Last Approved
Synchrowave\Common.SL\Core\ViewModels\AssetViewModel.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\ViewModels\AvailableTimeRangeViewModel.cs,175,,,erichewi,stango,,No UT Paperwork,'f8e8ac,,'33e5ae,stango,'f8e8ac,erichewi,'f8e8ac,'f8e8ac
Synchrowave\Common.SL\Core\ViewModels\GlobalViewModel.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\ViewModels\MainViewModel.cs,150,,,erichewi,willmorr,,No UT Paperwork,'82c1f0,,,erichewi,'82c1f0,willmorr,'82c1f0,'82c1f0
Synchrowave\Common.SL\Core\ViewModels\QuantitiesViewModel.cs,175,,,erichewi,stango,,No UT Paperwork,'2f9537,willmorr,2f9537,willmorr,2f9537,stango,'2f9537,
Synchrowave\Common.SL\Core\ViewModels\RealtimeViewModel.cs,175,,,erichewi,willmorr,,Printed Changes Only,'8fd840,,'d1b663,erichewi,'8fd840,willmorr,'8fd840,'8fd840
Synchrowave\Common.SL\Core\ViewModels\SelectedAssetViewModel.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\ViewModels\TimeRangeViewModel.cs,175,,,erichewi,stango,,No UT Paperwork,'31854d,,'d1b663,rilehudd,'31854d,stango,'31854d,'31854d
Synchrowave\Common.SL\Core\ViewModels\UserStorage.cs,150,,,erichewi,stango,,No UT Paperwork,'37feaa,,,willmorr,'37feaa,stango,'37feaa,'37feaa
Synchrowave\Common.SL\Core\ViewModels\ViewModelInitialization.cs,175,,,erichewi,willmorr,,No UT Paperwork,'5976f5,,'fe81ee,stango,'5976f5,erichewi,'5976f5,'5976f5
Synchrowave\Common.SL\Core\ViewModels\ViewModelLocator.cs,150,,,erichewi,willmorr,,No UT Paperwork,'d3fe16,,,erichewi,'d3fe16,willmorr,'d3fe16,'d3fe16
Synchrowave\Common.SL\Core\ViewModels\ViewModelLocator.tt,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\Core\ViewModels\ZoomViewModel.cs,175,,,erichewi,willmorr,,No UT Paperwork,'d16317,,'d1b663,rilehudd,'d16317,willmorr,'d16317,'d16317
Synchrowave\Common.SL\Printscreen.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'48118c,,,erichewi,'48118c,rilehudd,'48118c,'48118c
Synchrowave\Common.SL\Properties\AssemblyInfo.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'fe81ee,,,erichewi,'fe81ee,erichewi,'fe81ee,
Synchrowave\Common.SL\RestfulService.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'3a1a75,,,stango,'3a1a75,erichewi,'3a1a75,'3a1a75
Synchrowave\Common\AllQuantities.cs,175,,"File reorganization, namespaces changes only.",erichewi,stango,,None.,'333007,,'333007,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\Asset.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\BindingHelper.cs,175,,,erichewi,stango,9723,No UT Paperwork,'e7569c,,'475cc0,willmorr,'e7569c,stango,'e7569c,
Synchrowave\Common\Command.cs,175,,,erichewi,stango,,No UT Paperwork,'231f48,rilehudd,'231f48,rilehudd,'231f48,erichewi,'231f48,
Synchrowave\Common\DataAccess\QuantityReader.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\DataAccess\TagMappingUtils.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\DataAccess\TagsDictionary.cs,100,,,erichewi,stango,,,'b0747f,,,,,erichewi,'b0747f,'b0747f
Synchrowave\Common\DataIndexer\MinMaxAngleProcessor.cs,150,,,erichewi,stango,,,'9b401e,,,erichewi,'9b401e,stango,'9b401e,
Synchrowave\Common\DataIndexer\MinMaxProcessor.cs,150,,,erichewi,rilehudd,,,'ab6203,,,erichewi,'ab6203,rilehudd,'ab6203,'ab6203
Synchrowave\Common\DataIndexer\ProcessorFactoryAPI.cs,125,,,erichewi,stango,,,'70046f,,'bfc43c,,,erichewi,'70046f,'70046f
Synchrowave\Common\DataIndexer\TagsProcessor.cs,0,,,erichewi,stango,,Manual Unit Test,'c326d8,,,stango,'c326d8,erichewi,'c326d8,'06a9ce
Synchrowave\Common\DistinguishableColors.cs,150,,,erichewi,stango,,No UT Paperwork,'0984ee,,,willmorr,'0984ee,stango,'0984ee,
Synchrowave\Common\FindVisual.cs,150,,"File reorganization, namespaces changes only.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\LicensingAPI\CheckLicenseFile.cs,150,,,erichewi,stango,,,'a533e9,,,stango,'a533e9,erichewi,'a533e9,'a533e9
Synchrowave\Common\LicensingAPI\LicenseFileAPI.cs,150,,"File reorganization, namespaces changes only.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\LicensingAPI\ProcessingUsers.cs,150,,"Fixed warnings only, no functional change.",erichewi,stango,,None.,'96bd4a,,,rilehudd,'96bd4a,erichewi,'96bd4a,
Synchrowave\Common\MemoryMappedSharingStructures.cs,175,,,erichewi,stango,,No UT Paperwork,'6fdffa,,'bfc43c,stango,'6fdffa,erichewi,'6fdffa,'6fdffa
Synchrowave\Common\MessageRate.cs,175,,,erichewi,stango,,Automated,'94c90b,,'139f3a,erichewi,'94c90b,stango,'94c90b,'94c90b
Synchrowave\Common\Phase.cs,100,,,erichewi,stango,,,'93ddf3,,,stango,'93ddf3,stango,'93ddf3,
Synchrowave\Common\Processing.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\Properties\AssemblyInfo.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\Quantity.cs,150,,,erichewi,willmorr,,,'50abe2,,,ericball,'50abe2,willmorr,'50abe2,'50abe2
Synchrowave\Common\SELColors.cs,175,,,erichewi,rilehudd,,Printed Changes Only,'76178a,,'6f1200,willmorr,'76178a,rilehudd,'76178a,'76178a
Synchrowave\Common\ServerConfig\ComputedQuantitiesCollection.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\ServerConfig\Configuration.cs,175,,,erichewi,stango,,,'dc3bf9,ericball,'dc3bf9,ericball,'dc3bf9,stango,'dc3bf9,'dc3bf9
Synchrowave\Common\ServerConfig\DistinctQuantitiesCollection.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\ServerConfig\ExportConfig.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\ServerConfig\PowerComputations.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\ServerConfig\QualifiedQuantity.cs,150,,,erichewi,stango,,,'b33dba,,,stango,'b33dba,erichewi,'b33dba,'b33dba
Synchrowave\Common\ServerConfig\ServerConfigFile.cs,150,,,erichewi,stango,,No UT Paperwork,'9d1669,,,willmorr,'9d1669,stango,'9d1669,'9d1669
Synchrowave\Common\ServerConfig\Stations.cs,175,,,erichewi,stango,,No UT Paperwork,'51e6ef,rilehudd,'51e6ef,rilehudd,'51e6ef,stango,'51e6ef,
Synchrowave\Common\ServerConfig\StationTagsCollection.cs,150,,,erichewi,willmorr,,No UT Paperwork,'f8e8ac,,,stango,'f8e8ac,willmorr,'f8e8ac,'f8e8ac
Synchrowave\Common\SQLiteConnectionFactory.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\Status.cs,150,,,erichewi,stango,,No UT Paperwork,'3c7c50,,,rilehudd,'3c7c50,stango,'3c7c50,
Synchrowave\Common\SWave\Config.cs,175,,,erichewi,stango,,,'6e645a,,'dc3bf9,stango,'6e645a,erichewi,'6e645a,'6e645a
Synchrowave\Common\SWave\ConfigRecord.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\SWave\DataRecord.cs,150,,,erichewi,stango,,No UT Paperwork,'41dce0,,,erichewi,'41dce0,rilehudd,'41dce0,
Synchrowave\Common\SWave\DataWriter.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\SWave\Directory.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'6fe9e9,,'78782d,erichewi,'6fe9e9,rilehudd,'6fe9e9,'6fe9e9
Synchrowave\Common\SWave\File.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\Common\SWave\FileReaderWriter.cs,175,,,erichewi,stango,,No UT Paperwork,'692f64,,'d4f526,stango,'692f64,erichewi,'692f64,'692f64
Synchrowave\Common\SWave\SWaveDatabase.cs,175,,,erichewi,stango,,No UT Paperwork,'74bb1f,,'61190e,stango,'74bb1f,erichewi,'74bb1f,'74bb1f
Synchrowave\Common\SWave\TagReader.cs,150,,,erichewi,stango,,No UT Paperwork,'6894d1,,,erichewi,'6894d1,stango,'6894d1,'6894d1
Synchrowave\Common\SystemTimeSource.cs,175,,,erichewi,rilehudd,,,'ad0408,,'bfc43c,erichewi,'ad0408,rilehudd,'ad0408,'ad0408
Synchrowave\Common\TimeRange.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'98d51a,,'d732b1,willmorr,'98d51a,rilehudd,'98d51a,'98d51a
Synchrowave\Common\TimeUnion.cs,150,,"Move only, no file content change.",erichewi,stango,,None.,'333007,,,erichewi,'333007,erichewi,'333007,
Synchrowave\EventAnalytic.SL\AnalyticConfig.cs,150,,,erichewi,stango,,,'80ae2f,,,stango,'80ae2f,erichewi,'80ae2f,'80ae2f
Synchrowave\EventAnalytic.SL\Controls\AdvertisementControl.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'ac44c3,,,rilehudd,'ac44c3,willmorr,'ac44c3,'ac44c3
Synchrowave\EventAnalytic.SL\Controls\AdvertisementControl.xaml.cs,150,,,erichewi,erichewi,,No UT Paperwork,'3c8cfd,,,willmorr,'3c8cfd,erichewi,'3c8cfd,'3c8cfd
Synchrowave\EventAnalytic.SL\Controls\AdvertisementVM.cs,150,,,erichewi,willmorr,,No UT Paperwork,'ac44c3,,,rilehudd,'ac44c3,willmorr,'ac44c3,'ac44c3
Synchrowave\EventAnalytic.SL\Controls\AllDisplaysBaseControl.cs,175,,,erichewi,stango,,Printed Changes Only,'cd2f40,,'83c23e,willmorr,'cd2f40,stango,'cd2f40,'cd2f40
Synchrowave\EventAnalytic.SL\Controls\ChartBaseControl.cs,175,,,erichewi,rilehudd,,Printed Changes Only,'89ae97,,'068531,willmorr,'89ae97,rilehudd,'89ae97,'89ae97
Synchrowave\EventAnalytic.SL\Controls\CycleScaler.cs,150,,,erichewi,rilehudd,,New File Full Test,'4efc9f,,,erichewi,'4efc9f,rilehudd,'4efc9f,'4efc9f
Synchrowave\EventAnalytic.SL\Controls\GlobalSettingsControl.xaml,175,,,erichewi,willmorr,,No UT Paperwork,'ac44c3,,'cd6df3,rilehudd,'ac44c3,willmorr,'ac44c3,'ac44c3
Synchrowave\EventAnalytic.SL\Controls\GlobalSettingsControl.xaml.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'fa9405,willmorr,'fa9405,willmorr,'fa9405,rilehudd,'fa9405,'fa9405
Synchrowave\EventAnalytic.SL\Controls\TimeBasedChartControl.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'97527c,,'403844,erichewi,'97527c,rilehudd,'97527c,'97527c
Synchrowave\EventAnalytic.SL\Controls\TrialStatusControl.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'642e60,,,rilehudd,'642e60,willmorr,'642e60,'642e60
Synchrowave\EventAnalytic.SL\Controls\TrialStatusControl.xaml.cs,150,,,erichewi,willmorr,,No UT Paperwork,'b9f833,,,rilehudd,'b9f833,willmorr,'b9f833,'b9f833
Synchrowave\EventAnalytic.SL\Displays\AnalogChart\AnalogChartControl.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'aad96d,,'ab28e8,willmorr,'aad96d,rilehudd,'aad96d,'aad96d
Synchrowave\EventAnalytic.SL\Displays\AnalogChart\AnalogChartVM.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'114b1d,,'01ce47,willmorr,'114b1d,rilehudd,'114b1d,'114b1d
Synchrowave\EventAnalytic.SL\Displays\AnalogChart\AnalogDisplay.xaml,175,,,erichewi,rilehudd,,No UT Paperwork,'4efc9f,,'01ce47,erichewi,'4efc9f,rilehudd,'4efc9f,'4efc9f
Synchrowave\EventAnalytic.SL\Displays\AnalogChart\AnalogDisplay.xaml.cs,175,,,erichewi,erichewi,,Printed Changes Only,'1ec027,,'01ce47,willmorr,'1ec027,erichewi,'1ec027,'e2d8e2
Synchrowave\EventAnalytic.SL\Displays\Calculations\Calculations.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'a31c50,,,erichewi,'a31c50,willmorr,'a31c50,'a31c50
Synchrowave\EventAnalytic.SL\Displays\Calculations\Calculations.xaml.cs,0,,RecSharp-Auto: New Edits Detected 12/8/2014,willmorr,willmorr,,,'4e28d3,,,stango,'4e28d3,erichewi,'4e28d3,'b9f833
Synchrowave\EventAnalytic.SL\Displays\Calculations\CalculationStyle_Dark.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'a31c50,,,erichewi,'a31c50,willmorr,'a31c50,'a31c50
Synchrowave\EventAnalytic.SL\Displays\Calculations\CalculationStyle_Light.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'db38d3,,,willmorr,'db38d3,rilehudd,'db38d3,'db38d3
Synchrowave\EventAnalytic.SL\Displays\Calculations\CalculationsVM.cs,175,,,erichewi,erichewi,,No UT Paperwork,'787b2c,,'34c582,erichewi,'787b2c,willmorr,'787b2c,'787b2c
Synchrowave\EventAnalytic.SL\Displays\DataDisplayBaseTrialableVM.cs,150,,,erichewi,willmorr,,No UT Paperwork,'114b1d,,,rilehudd,'114b1d,willmorr,'114b1d,'114b1d
Synchrowave\EventAnalytic.SL\Displays\DigitalChart\DigitalChartControl.cs,150,,,erichewi,willmorr,,No UT Paperwork,'0a9055,,,rilehudd,'0a9055,willmorr,'0a9055,'0a9055
Synchrowave\EventAnalytic.SL\Displays\DigitalChart\DigitalChartVM.cs,150,,,erichewi,willmorr,,No UT Paperwork,'114b1d,,,rilehudd,'114b1d,willmorr,'114b1d,'114b1d
Synchrowave\EventAnalytic.SL\Displays\DigitalChart\DigitalDisplay.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'4efc9f,,,erichewi,'4efc9f,rilehudd,'4efc9f,'4efc9f
Synchrowave\EventAnalytic.SL\Displays\DigitalChart\DigitalDisplay.xaml.cs,150,,,erichewi,erichewi,,No UT Paperwork,'54a23d,,,rilehudd,'54a23d,erichewi,'54a23d,'54a23d
Synchrowave\EventAnalytic.SL\Displays\EventInfo\AdjustEventTime.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'2f0962,,,willmorr,'2f0962,rilehudd,'2f0962,'2f0962
Synchrowave\EventAnalytic.SL\Displays\EventInfo\AdjustEventTime.xaml.cs,150,,,erichewi,willmorr,,New File Full Test,'3c3272,,,erichewi,'3c3272,willmorr,'3c3272,'3c3272
Synchrowave\EventAnalytic.SL\Displays\EventInfo\AdjustEventTimeVM.cs,150,,,erichewi,willmorr,,No UT Paperwork,'4b2a30,,,erichewi,'4b2a30,willmorr,'4b2a30,'4b2a30
Synchrowave\EventAnalytic.SL\Displays\EventInfo\EventChooserPopup.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'8eab63,,,willmorr,'8eab63,rilehudd,'8eab63,'8eab63
Synchrowave\EventAnalytic.SL\Displays\EventInfo\EventChooserPopup.xaml.cs,150,,,erichewi,willmorr,,No UT Paperwork,'e19990,,,rilehudd,'e19990,willmorr,'e19990,'e19990
Synchrowave\EventAnalytic.SL\Displays\EventInfo\EventInfo.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'ac44c3,,,rilehudd,'ac44c3,willmorr,'ac44c3,'ac44c3
Synchrowave\EventAnalytic.SL\Displays\EventInfo\EventInfo.xaml.cs,150,,,erichewi,willmorr,,No UT Paperwork,'ab5b10,,,rilehudd,'ab5b10,willmorr,'ab5b10,'ab5b10
Synchrowave\EventAnalytic.SL\Displays\EventInfo\EventInfoVM.cs,150,,,erichewi,erichewi,,No UT Paperwork,'53b8aa,,,rilehudd,'53b8aa,erichewi,'53b8aa,'53b8aa
Synchrowave\EventAnalytic.SL\Displays\EventInfo\RelaySettings.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'ac44c3,,,rilehudd,'ac44c3,willmorr,'ac44c3,'ac44c3
Synchrowave\EventAnalytic.SL\Displays\EventInfo\RelaySettings.xaml.cs,150,,,erichewi,willmorr,,No UT Paperwork,'421dcf,,,rilehudd,'421dcf,willmorr,'421dcf,'421dcf
Synchrowave\EventAnalytic.SL\Displays\HarmonicChart\HarmonicChartControl.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'de817b,,'1448c9,willmorr,'de817b,rilehudd,'de817b,'de817b
Synchrowave\EventAnalytic.SL\Displays\HarmonicChart\HarmonicChartVM.cs,175,,,erichewi,rilehudd,,Printed Changes Only,'d54f56,,'1448c9,willmorr,'d54f56,rilehudd,'d54f56,'d54f56
Synchrowave\EventAnalytic.SL\Displays\HarmonicChart\HarmonicDataCache.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'df69cf,,'1448c9,willmorr,'df69cf,rilehudd,'df69cf,'df69cf
Synchrowave\EventAnalytic.SL\Displays\HarmonicChart\HarmonicDisplay.xaml,175,,,erichewi,willmorr,,No UT Paperwork,'a31c50,,'1448c9,erichewi,'a31c50,willmorr,'a31c50,'a31c50
Synchrowave\EventAnalytic.SL\Displays\HarmonicChart\HarmonicDisplay.xaml.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'32c5df,,'1448c9,willmorr,'32c5df,rilehudd,'32c5df,'32c5df
Synchrowave\EventAnalytic.SL\Displays\HarmonicChart\HarmonicToolTip.xaml,175,,,erichewi,rilehudd,,,'1448c9,willmorr,'1448c9,willmorr,'1448c9,rilehudd,'1448c9,'1448c9
Synchrowave\EventAnalytic.SL\Displays\HarmonicChart\HarmonicToolTip.xaml.cs,175,,,erichewi,rilehudd,,,'1448c9,willmorr,'1448c9,willmorr,'1448c9,rilehudd,'1448c9,'1448c9
Synchrowave\EventAnalytic.SL\Displays\PhasorDiagram\NeedleVM.cs,175,,,erichewi,stango,,Printed Changes Only,'80d0a0,willmorr,'80d0a0,willmorr,'80d0a0,erichewi,'80d0a0,'e2d8e2
Synchrowave\EventAnalytic.SL\Displays\PhasorDiagram\PhasorDiagram.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'a31c50,,,erichewi,'a31c50,willmorr,'a31c50,'a31c50
Synchrowave\EventAnalytic.SL\Displays\PhasorDiagram\PhasorDiagram.xaml.cs,175,,,erichewi,stango,,Printed Changes Only,'671db1,,'5017dd,willmorr,'671db1,erichewi,'671db1,
Synchrowave\EventAnalytic.SL\Displays\PhasorDiagram\PhasorDiagramControl.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'b85f5c,,'f22293,willmorr,'b85f5c,rilehudd,'b85f5c,'b85f5c
Synchrowave\EventAnalytic.SL\Displays\PhasorDiagram\PhasorDiagramVM.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'bd0e4c,,'3c9336,willmorr,'bd0e4c,rilehudd,'bd0e4c,'bd0e4c
Synchrowave\EventAnalytic.SL\Displays\PhasorDiagram\PhasorStyles_Dark.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'aad96d,,,willmorr,'aad96d,rilehudd,'aad96d,'aad96d
Synchrowave\EventAnalytic.SL\Displays\PhasorDiagram\PhasorStyles_Light.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'aad96d,,,willmorr,'aad96d,rilehudd,'aad96d,'aad96d
Synchrowave\EventAnalytic.SL\Displays\SpectralAnalysisChart\SpectralAnalysis.xaml,175,,,erichewi,rilehudd,,No UT Paperwork,'b59f9c,,'b5456d,willmorr,'b59f9c,rilehudd,'b59f9c,'b59f9c
Synchrowave\EventAnalytic.SL\Displays\SpectralAnalysisChart\SpectralAnalysis.xaml.cs,175,,,erichewi,rilehudd,,,'f1b4c4,rilehudd,'199846,dylapowe,'f1b4c4,rilehudd,'f1b4c4,'f1b4c4
Synchrowave\EventAnalytic.SL\Displays\SpectralAnalysisChart\SpectralChartControl.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'b59f9c,,'43e570,willmorr,'b59f9c,rilehudd,'b59f9c,'b59f9c
Synchrowave\EventAnalytic.SL\Displays\SpectralAnalysisChart\SpectralChartVM.cs,175,,,erichewi,willmorr,,No UT Paperwork,'173f0a,,'e40ae8,rilehudd,'173f0a,willmorr,'173f0a,'173f0a
Synchrowave\EventAnalytic.SL\Displays\SpectralAnalysisChart\SpectralDataCache.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'ea59c8,,'f1b4c4,willmorr,'ea59c8,rilehudd,'ea59c8,'ea59c8
Synchrowave\EventAnalytic.SL\EventReport\EventReportModule.cs,175,,,erichewi,willmorr,,No UT Paperwork,'fd493c,,'7d7a3c,stango,'fd493c,erichewi,'fd493c,'fd493c
Synchrowave\EventAnalytic.SL\EventReport\EventReportQuantity.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'3d8150,,,willmorr,'3d8150,rilehudd,'3d8150,'3d8150
Synchrowave\EventAnalytic.SL\EventReport\PhasorReferenceModule.cs,150,,,erichewi,willmorr,,New File Full Test,'76759d,,,erichewi,'76759d,willmorr,'76759d,'76759d
Synchrowave\EventAnalytic.SL\EventReport\SequenceQuantity.cs,150,,,erichewi,willmorr,,No UT Paperwork,'76759d,,,erichewi,'76759d,willmorr,'76759d,'76759d
Synchrowave\EventAnalytic.SL\EventViewerConstants.cs,150,,,erichewi,erichewi,,No UT Paperwork,'2bbdb6,,,rilehudd,'2bbdb6,erichewi,'2bbdb6,'2bbdb6
Synchrowave\EventAnalytic.SL\Main\App.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'ee0c36,,,willmorr,'ee0c36,rilehudd,'ee0c36,'ee0c36
Synchrowave\EventAnalytic.SL\Main\App.xaml.cs,175,,,erichewi,willmorr,,No UT Paperwork,'f029b4,,'08c576,stango,'f029b4,erichewi,'f029b4,'f029b4
Synchrowave\EventAnalytic.SL\Main\CommandBar\LeftCommandPanel.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'6e2c73,,,erichewi,'6e2c73,rilehudd,'6e2c73,'6e2c73
Synchrowave\EventAnalytic.SL\Main\CommandBar\LeftCommandPanel.xaml.cs,150,,,erichewi,stango,,No UT Paperwork,'0b4f62,,,rilehudd,'0b4f62,stango,'0b4f62,
Synchrowave\EventAnalytic.SL\Main\CommandBar\RightCommandPanel.xaml,150,,,erichewi,stango,,No UT Paperwork,'62457d,,,erichewi,'62457d,stango,'62457d,'62457d
Synchrowave\EventAnalytic.SL\Main\CommandBar\RightCommandPanel.xaml.cs,150,,,erichewi,willmorr,,No UT Paperwork,'787b2c,,,rilehudd,'787b2c,willmorr,'787b2c,'787b2c
Synchrowave\EventAnalytic.SL\Main\CommandBar\ScreenSelectorView.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'3e460b,,,willmorr,'3e460b,rilehudd,'3e460b,'3e460b
Synchrowave\EventAnalytic.SL\Main\CommandBar\ScreenSelectorView.xaml.cs,150,,,erichewi,stango,,No UT Paperwork,'d7c9b1,,,rilehudd,'d7c9b1,stango,'d7c9b1,
Synchrowave\EventAnalytic.SL\Main\CommandBar\ScreenSelectorVM.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'6e2c73,,,erichewi,'6e2c73,rilehudd,'6e2c73,'6e2c73
Synchrowave\EventAnalytic.SL\Main\ContextMenu\RightClickInfoVM.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'580dd6,,,willmorr,'580dd6,rilehudd,'580dd6,'580dd6
Synchrowave\EventAnalytic.SL\Main\ContextMenu\RightClickTimeCursorsVM.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'4efc9f,erichewi,'5e9584,willmorr,'4efc9f,rilehudd,'4efc9f,'4efc9f
Synchrowave\EventAnalytic.SL\Main\ContextMenu\RightClickZoomVM.cs,150,,,erichewi,erichewi,,No UT Paperwork,'068531,,,willmorr,'068531,erichewi,'068531,'068531
Synchrowave\EventAnalytic.SL\Main\Converters.cs,150,,,erichewi,stango,,No UT Paperwork,'69f798,,,rilehudd,'69f798,stango,'69f798,
Synchrowave\EventAnalytic.SL\Main\CycleManager.cs,150,,,erichewi,rilehudd,,Printed Changes Only,'63e863,,,willmorr,'63e863,rilehudd,'63e863,'63e863
Synchrowave\EventAnalytic.SL\Main\EventAnalyticDataCache.cs,150,,,erichewi,stango,,New File Full Test,'f5c2be,,,erichewi,'f5c2be,willmorr,'f5c2be,'f5c2be
Synchrowave\EventAnalytic.SL\Main\GlobalSettings.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'8e0c61,,,erichewi,'8e0c61,rilehudd,'8e0c61,'8e0c61
Synchrowave\EventAnalytic.SL\Main\MainScreen\LeftPanel\BlankDisplay.xaml,150,,,erichewi,stango,,No UT Paperwork,'415b97,,,rilehudd,'415b97,willmorr,'415b97,'415b97
Synchrowave\EventAnalytic.SL\Main\MainScreen\LeftPanel\BlankDisplay.xaml.cs,150,,,erichewi,rilehudd,,No UT Paperwork,'267396,,,willmorr,'267396,rilehudd,'267396,'267396
Synchrowave\EventAnalytic.SL\Main\MainScreen\LeftPanel\DisplayContentControl.cs,175,,,erichewi,rilehudd,,No UT Paperwork,'415b97,,'a2356f,rilehudd,'415b97,willmorr,'415b97,'415b97
Synchrowave\EventAnalytic.SL\Main\MainScreen\LeftPanel\DisplayViewBase.xaml,150,,,erichewi,willmorr,,No UT Paperwork,'c42aa8,,,rilehudd,'c42aa8,willmorr,'c42aa8,'c42aa8
Synchrowave\EventAnalytic.SL\Main\MainScreen\LeftPanel\DisplayViewBase.xaml.cs,175,,,erichewi,erichewi,,No UT Paperwork,'28dc9b,,'5e9584,rilehudd,'28dc9b,erichewi,'28dc9b,'28dc9b
Synchrowave\EventAnalytic.SL\Main\MainScreen\LeftPanel\SelectionDisplay.xaml,150,,,erichewi,rilehudd,,No UT Paperwork,'3e460b,,,willmorr,'3e460b,rilehudd,'3e460b,'3e460b
Synchrowave\EventAnalytic.SL\Main\MainScreen\LeftPanel\SelectionDisplay.xaml.cs,150,,,erichewi,willmorr,,No UT Paperwork,'c5f921,,,rilehudd,'c5f921,willmorr,'c5f921,'c5f921
Synchrowave\EventAnalytic.SL\Main\MainScreen\LeftPanel\SplitNodeControl.xaml,150,,,erichewi,stango,,No UT Paperwork,'9377ce,,,rilehudd,'9377ce,stango,'9377ce,
